Member_ID,Service_Date,Enjoyed,Decision_Status
1,2024-02-23,Worship Session,Decided
2,2024-07-03,Atmosphere,Decided
3,2024-03-16,Atmosphere,Undecided
4,2024-02-11,Prayer,Decided
5,2024-08-05,Sermon,Undecided
6,2024-04-19,Atmosphere,Decided
7,2024-07-08,Atmosphere,Undecided
8,2024-05-15,Atmosphere,Undecided
9,2024-08-13,Atmosphere,Undecided
10,2024-03-24,Sermon,Decided
11,2024-09-05,Atmosphere,Decided
12,2024-12-26,Prayer,Decided
13,2024-08-21,Atmosphere,Decided
14,2024-03-21,Worship Session,Decided
15,2024-11-04,Atmosphere,Decided
16,2024-03-02,Worship Session,Undecided
17,2024-01-21,Sermon,Decided
18,2024-07-09,Worship Session,Undecided
19,2024-06-04,Worship Session,Undecided
20,2024-01-15,Sermon,Decided
21,2024-10-28,Atmosphere,Decided
22,2024-06-05,Worship Session,Decided
23,2024-04-03,Atmosphere,Decided
24,2024-03-03,Worship Session,Decided
25,2024-01-23,Atmosphere,Undecided
26,2024-10-20,Worship Session,Undecided
27,2024-06-21,Atmosphere,Undecided
28,2024-11-06,Sermon,Decided
29,2024-09-15,Atmosphere,Undecided
30,2024-12-07,Atmosphere,Decided
31,2024-06-15,Prayer,Undecided
32,2024-07-17,Sermon,Undecided
33,2024-06-22,Prayer,Undecided
34,2024-05-22,Prayer,Decided
35,2024-12-28,Prayer,Undecided
36,2024-10-14,Prayer,Decided
37,2024-04-08,Prayer,Decided
38,2024-08-31,Prayer,Decided
39,2024-12-03,Sermon,Decided
40,2024-05-20,Sermon,Decided
41,2024-12-27,Atmosphere,Decided
42,2024-09-30,Worship Session,Undecided
43,2024-10-28,Prayer,Undecided
44,2024-01-12,Worship Session,Undecided
45,2024-04-02,Atmosphere,Decided
46,2024-09-27,Worship Session,Undecided
47,2024-05-11,Prayer,Decided
48,2024-02-20,Sermon,Undecided
49,2024-03-14,Sermon,Undecided
50,2024-02-15,Sermon,Undecided
